"tx_id","tx_type","tx_date","material","drum_id","repro_id","tx_notes","created_at","updated_at","process_id","delivery_id","batch_code","order_id","direction"
53,"import","2021-03-02","N Butanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
54,"import","2021-03-10","Ethanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
55,"import","2021-03-10","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
56,"import","2021-03-10","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
57,"import","2021-03-02","Chloroform",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
58,"import","2021-04-08","Cyclohexane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
59,"import","2021-04-15","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
60,"import","2021-04-15","Ethanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
61,"import","2021-04-16","Hexane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
62,"import","2021-04-20","Toluene",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
63,"import","2021-04-20","Ethyl Acetate",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
64,"import","2021-04-20","Acetone",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
65,"import","2021-04-20","DCM",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
66,"import","2021-04-22","Pentane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
67,"import","2021-04-26","Acetonitrile",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
68,"import","2021-04-26","isobutanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
69,"import","2021-04-30","Chloroform",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
70,"import","2021-04-30","DCM",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
71,"import","2021-05-14","THF",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
72,"import","2021-05-14","THF",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
73,"import","2021-05-17","IsoHexane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
74,"import","2021-05-21","Diethyl Ether",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
75,"import","2021-06-08","Pet Spirit 100-140",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
76,"import","2021-06-18","Ethanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
77,"import","2021-06-18","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
78,"import","2021-06-25","Acetonitrile",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
79,"import","2021-06-29","Diisopropyl Ether",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
80,"import","2021-06-29","THF",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
81,"import","2021-07-05","DCM",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
82,"import","2021-07-06","Acetone",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
83,"import","2021-07-06","Ethyl Acetate",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
84,"import","2021-07-06","DMF",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
85,"import","2021-07-09","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
86,"import","2021-07-09","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
87,"import","2021-07-09","IPA",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
88,"import","2021-07-13","Pentane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
89,"import","2021-07-14","DCM",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
90,"import","2021-07-15","Disopropyl ether",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
91,"import","2021-07-15","Hexane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
92,"import","2021-07-28","CS2",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
93,"import","2021-07-28","Carbon Disulphide",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
94,"import","2021-07-28","Piperidine",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
95,"import","2021-08-12","Dichloromethane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
96,"import","2021-08-16","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
97,"import","2021-08-16","Acetic Acid",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
98,"import","2021-09-06","Ethanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
99,"import","2021-09-17","Toluene",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
100,"import","2021-09-17","Acetone",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
101,"import","2021-09-30","Pentane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
102,"import","2021-10-05","n-Octanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
103,"import","2021-10-06","Chloroform",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
104,"import","2021-10-08","Dichloromethane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
105,"import","2021-10-08","Dichloromethane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
106,"import","2021-10-08","Cyclohexane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
107,"import","2021-10-08","MEG",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
108,"import","2021-10-12","Diethyl Ether",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
109,"import","2021-10-14","DCM",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
110,"import","2021-10-14","DCM",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
111,"import","2021-10-19","Ethyl Acetate",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
112,"import","2021-10-19","Hexane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
113,"import","2021-10-19","Diethyl Ether",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
114,"import","2021-10-28","Acetonitrile",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
115,"import","2021-10-28","Ethanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
116,"import","2021-11-04","Methanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
117,"import","2021-11-04","2-Propanol",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
118,"import","2021-11-11","Pentane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
119,"import","2021-11-11","Dichloromethane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
